title,ingredients,ingredient_measurements,instructions,diet_type,difficulty,cooking_time
clam curry,"clams,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,chilli powder,coriander powder,turmeric powder,garam masala,salt,water","[{""ingredient"":""clams"",""measurement"":""1 kg"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""3 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 1 kg clams thoroughly in water 4 times to remove sand.Boil clams in 2 cup water on high flame for 8 minutes until shells open.Remove clam meat from shells and drain completely.Step 2: Heat 4 tbsp coconut oil in a deep pan on medium flame for 2 minutes.Add 2 cup onion,3 green chilli,2 tbsp ginger,2 tbsp garlic,and 2 tbsp curry leaves.Saute for 10 minutes until onions turn deep golden brown.Step 3: Add 2 cup tomato and cook on medium flame for 6 minutes until soft and oil separates.Step 4: Add 2 tbsp chilli powder,2 tbsp coriander powder,1 tsp turmeric powder,1 tsp garam masala,and 3 tsp salt.Roast on low flame for 2 minutes until aromatic.Step 5: Add cooked clam meat and 4 cup water.Bring to boil on high flame for 5 minutes.Cover and cook on medium flame for 10 minutes until gravy thickens slightly.Step 6: Rest for 5 minutes before serving hot.",non_veg,medium,45
banana halwa,"banana,jaggery,ghee,cardamom powder,cashew nuts nuts","[{""ingredient"":""banana"",""measurement"":""6 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""jaggery"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ghee"",""measurement"":""6 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cardamom powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""}]",Step 1: Peel 6 number banana and mash thoroughly in a bowl for 5 minutes until smooth without lumps.Step 2: Heat 1/2 cup water in a heavy pan on medium flame for 3 minutes.Add 2 cup jaggery and stir for 4 minutes until fully dissolved.Filter to remove impurities.Step 3: Add mashed banana into the jaggery syrup and cook on medium flame for 15 minutes while stirring continuously until mixture thickens.Step 4: Add 5 tbsp ghee gradually while stirring continuously on low flame for 15 minutes until mixture leaves the sides of the pan and becomes glossy.Step 5: Add 1 tsp cardamom powder and mix for 1 minute until aromatic.Step 6: Heat remaining ghee in a small pan on medium flame for 1 minute.Add 1/2 cup cashew nuts and fry for 2 minutes until golden brown.Add into the halwa and mix thoroughly.Step 7: Grease a tray lightly with ghee.Pour the halwa evenly and cool for 30 minutes before cutting into pieces.,veg,medium,50
coconut chutney,"coconut,green chilli,ginger,curry leaves,mustard seeds,urad dal,coconut oil,salt,water","[{""ingredient"":""coconut"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mustard seeds"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""urad dal"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Add 2 cup coconut,2 green chilli,1 tbsp ginger,1/2 tsp salt,and 1 cup water into a mixer.Grind for 3 minutes until smooth chutney forms.Transfer into a bowl.Step 2: Heat 2 tbsp coconut oil in a small pan on medium flame for 1 minute.Add 1 tsp mustard seeds and cook for 30 seconds until crackling.Step 3: Add 1 tsp urad dal and saute for 1 minute until light golden brown.Step 4: Add 1 tbsp curry leaves and saute for 20 seconds until aromatic.Step 5: Pour the tempering over the chutney and mix gently.Rest for 5 minutes before serving.",veg,easy,15
paneer burger,"paneer,maida,yeast,sugar,onion,cabbage,mayonnaise,black pepper,oil,salt,water","[{""ingredient"":""paneer"",""measurement"":""400 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""maida"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""yeast"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""sugar"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cabbage"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mayonnaise"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Mix 3 cup maida,1 tsp yeast,1 tsp sugar,1/2 tsp salt,1 tbsp oil,and 1 cup lukewarm water.Knead for 8 minutes until smooth dough forms.Rest covered for 1 hour until doubled in size.Step 2: Divide dough into equal balls.Shape into buns and bake on medium heat for 20 minutes until golden brown.Cool for 10 minutes.Step 3: Crumble 400 g paneer into a bowl.Add 1 tsp black pepper and remaining salt.Shape into flat patties.Step 4: Heat 2 tbsp oil in a pan on medium flame for 2 minutes.Fry paneer patties for 4 minutes on each side until golden brown and crisp.Step 5: Slice buns horizontally.Spread 2 tbsp mayonnaise inside each bun.Add cabbage,onion,and paneer patty.Close the bun gently.Step 6: Toast the assembled burgers on a tawa for 2 minutes until slightly crisp and serve hot.",veg,hard,80
fish pollichathu,"fish,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,chilli powder,turmeric powder,banana leaf,salt","[{""ingredient"":""fish"",""measurement"":""750 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""banana leaf"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 750 g fish thoroughly and make shallow cuts on both sides.Apply 1 tsp chilli powder,1/2 tsp turmeric powder,and 1 tsp salt evenly.Rest for 20 minutes.Step 2: Heat 2 tbsp coconut oil in a pan on medium flame for 2 minutes.Fry fish for 3 minutes on each side until lightly cooked.Remove carefully.Step 3: Heat remaining coconut oil in the same pan.Add 2 cup onion,3 green chilli,2 tbsp ginger,2 tbsp garlic,and 2 tbsp curry leaves.Saute for 10 minutes until onions turn golden brown.Step 4: Add 1 cup tomato and cook on medium flame for 5 minutes until soft and oil separates.Step 5: Add remaining chilli powder,turmeric powder,and remaining salt.Roast on low flame for 2 minutes until aromatic.Step 6: Heat banana leaves on low flame for 30 seconds until flexible.Place masala on the leaf,keep fried fish over it,and cover with remaining masala.Wrap tightly and tie securely.Step 7: Heat a flat pan on low flame for 2 minutes.Place wrapped fish and cook covered for 10 minutes on each side until smoky and aromatic.Step 8: Rest for 5 minutes before opening and serving.",non_veg,hard,55
squid curry,"squid,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,chilli powder,coriander powder,turmeric powder,garam masala,salt,water","[{""ingredient"":""squid"",""measurement"":""750 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""3 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 750 g squid thoroughly,remove skin and inner parts,and cut into medium rings.Drain completely.Step 2: Heat 4 tbsp coconut oil in a deep pan on medium flame for 2 minutes.Add 2 cup onion,3 green chilli,2 tbsp ginger,2 tbsp garlic,and 2 tbsp curry leaves.Saute for 10 minutes until onions turn deep golden brown.Step 3: Add 2 cup tomato and cook on medium flame for 6 minutes until soft and oil separates.Step 4: Add 2 tbsp chilli powder,2 tbsp coriander powder,1 tsp turmeric powder,1 tsp garam masala,and 3 tsp salt.Roast on low flame for 2 minutes until aromatic.Step 5: Add squid and stir on high flame for 5 minutes until moisture releases.Step 6: Add 4 cup water and bring to boil on high flame for 5 minutes.Cover and cook on medium flame for 12 minutes until squid becomes tender and gravy thickens slightly.Step 7: Rest for 5 minutes before serving hot.",non_veg,medium,45
neyyappam,"rice flour,jaggery,banana,cardamom powder,black sesame seeds,ghee,baking soda,water","[{""ingredient"":""rice flour"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""jaggery"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""banana"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cardamom powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black sesame seeds"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ghee"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""baking soda"",""measurement"":""1/4 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Heat 1 cup water in a saucepan on medium flame for 3 minutes.Add 1 cup jaggery and stir for 4 minutes until fully dissolved.Filter and cool for 5 minutes.Step 2: Mash 2 number banana thoroughly in a bowl for 3 minutes until smooth.Add jaggery syrup,2 cup rice flour,1 tsp cardamom powder,1 tsp black sesame seeds,and 1/4 tsp baking soda.Mix thoroughly for 4 minutes until thick batter forms.Rest for 30 minutes.Step 3: Heat an appe pan on medium flame for 2 minutes.Add 1/2 tsp ghee into each cavity.Fill each cavity three-fourths full with batter.Step 4: Cook on low flame for 3 minutes until edges become golden brown.Turn carefully using a skewer and cook another 3 minutes until evenly browned and cooked inside.Step 5: Remove carefully and cool for 5 minutes before serving.",veg,medium,45
fish cutlet burger,"fish,potato,breadcrumbs,maida,yeast,sugar,onion,cabbage,mayonnaise,black pepper,oil,salt,water","[{""ingredient"":""fish"",""measurement"":""500 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""potato"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""breadcrumbs"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""maida"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""yeast"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""sugar"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cabbage"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mayonnaise"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""500 ml"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Mix 3 cup maida,1 tsp yeast,1 tsp sugar,1/2 tsp salt,1 tbsp oil,and 1 cup lukewarm water.Knead for 8 minutes until smooth dough forms.Rest covered for 1 hour until doubled in size.Step 2: Divide dough into equal balls.Shape into buns and bake on medium heat for 20 minutes until golden brown.Cool for 10 minutes.Step 3: Wash 500 g fish thoroughly and cook in 2 cup water on medium flame for 10 minutes until fully cooked.Remove bones carefully and shred finely.Step 4: Boil 2 cup potato in 3 cup water on medium flame for 20 minutes until soft.Peel and mash completely.Step 5: Mix shredded fish,mashed potato,1 tsp black pepper,and remaining salt.Shape into flat patties.Coat evenly with 2 cup breadcrumbs.Step 6: Heat 500 ml oil in a deep kadai on medium flame for 8 minutes until hot.Fry patties for 4 minutes on each side until golden brown and crisp.Step 7: Slice buns horizontally.Spread 2 tbsp mayonnaise inside each bun.Add cabbage,onion,and fish patty.Close the bun gently.Step 8: Toast assembled burgers on a tawa for 2 minutes and serve hot.",non_veg,hard,90
pumpkin erissery,"pumpkin,green,coconut,cumin seeds,dry red chilli,curry leaves,mustard seeds,coconut oil,salt,water","[{""ingredient"":""pumpkin"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cumin seeds"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""dry red chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mustard seeds"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 1 cup green gram thoroughly and pressure cook with 3 cup water on high flame for 1 whistle and then on low flame for 10 minutes until soft.Step 2: Wash and peel 4 cup pumpkin.Cut into medium cubes and cook with 2 cup water and 2 tsp salt on medium flame for 12 minutes until soft.Step 3: Grind 1 cup coconut and 1 tsp cumin seeds with 1/2 cup water for 5 minutes until coarse paste forms.Step 4: Add cooked green gram and ground coconut paste into the pumpkin.Mix gently and cook on low flame for 5 minutes until thick.Step 5: Heat 3 tbsp coconut oil in a small pan on medium flame for 1 minute.Add 1 tsp mustard seeds and cook for 30 seconds until crackling.Step 6: Add 3 number dry red chilli,1 tbsp curry leaves,and remaining coconut.Roast for 3 minutes until coconut becomes golden brown and aromatic.Step 7: Pour the tempering over the erissery and rest for 5 minutes before serving.",veg,medium,40
duck mappas,"duck,onion,green chilli,ginger,garlic,curry leaves,coconut milk,coconut oil,black pepper,turmeric powder,salt,water","[{""ingredient"":""duck"",""measurement"":""1 kg"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut milk"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""3 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 1 kg duck thoroughly and cut into medium pieces.Add duck into a pressure cooker with 2 cup water,1 tsp salt,and 1/2 tsp turmeric powder.Pressure cook on high flame for 1 whistle and then on low flame for 25 minutes until tender.Step 2: Heat 3 tbsp coconut oil in a deep pan on medium flame for 2 minutes.Add 2 cup onion,3 green chilli,2 tbsp ginger,2 tbsp garlic,and 2 tbsp curry leaves.Saute for 6 minutes until onions soften without browning.Step 3: Add remaining turmeric powder,1 tsp black pepper,and remaining salt.Stir on low flame for 1 minute until aromatic.Step 4: Add cooked duck with cooking liquid and cook on medium flame for 10 minutes until flavors combine.Step 5: Add 2 cup coconut milk and simmer on low flame for 5 minutes until slightly thickened.Step 6: Add remaining coconut milk and cook on very low flame for 2 minutes without boiling heavily.Step 7: Rest for 5 minutes before serving hot.",non_veg,medium,60
veg shawarma,"paneer,yogurt,garlic,black pepper,chilli powder,cumin powder,oil,salt,maida,yeast,sugar,cabbage,onion,tomato,mayonnaise,water","[{""ingredient"":""paneer"",""measurement"":""500 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""yogurt"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cumin powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""maida"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""yeast"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""sugar"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cabbage"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mayonnaise"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Cut 500 g paneer into thin strips.Combine paneer with 1 cup yogurt,1 tbsp garlic,1 tsp black pepper,1 tsp chilli powder,1 tsp cumin powder,1 tbsp oil,and 1 tsp salt.Mix thoroughly and marinate for 30 minutes.Step 2: Mix 3 cup maida,1 tsp yeast,1 tsp sugar,1/2 tsp salt,1 tbsp oil,and 1 cup lukewarm water.Knead for 8 minutes until smooth dough forms.Rest covered for 1 hour until doubled in size.Step 3: Divide dough into equal balls.Roll into thin circles and cook on a hot tawa for 2 minutes on each side until light brown spots appear.Step 4: Heat 2 tbsp oil in a pan on medium flame for 2 minutes.Add marinated paneer and cook for 8 minutes while stirring until lightly charred.Step 5: Mix 1 cup cabbage,1 cup onion,and 1 cup tomato in a bowl.Step 6: Spread 2 tbsp mayonnaise on each bread.Place vegetable mixture and cooked paneer in the center.Roll tightly and toast on a tawa for 2 minutes until slightly crisp.Step 7: Cut and serve hot.",veg,hard,85
fish stew,"fish,potato,onion,green chilli,ginger,curry leaves,coconut milk,coconut oil,black pepper,salt,water","[{""ingredient"":""fish"",""measurement"":""750 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""potato"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut milk"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 750 g fish thoroughly and cut into medium pieces.Wash and peel 2 cup potato,then cut into medium cubes.Step 2: Heat 2 tbsp coconut oil in a deep pan on medium flame for 2 minutes.Add 1 cup onion,3 green chilli,1 tbsp ginger,and 1 tbsp curry leaves.Saute for 5 minutes until onions soften without browning.Step 3: Add potato and 2 cup water.Cook covered on medium flame for 12 minutes until potatoes become soft.Step 4: Add fish,1 tsp black pepper,and 2 tsp salt.Cook on low flame for 8 minutes until fish becomes tender.Step 5: Add 2 cup coconut milk and simmer on very low flame for 5 minutes until slightly thickened.Step 6: Add remaining coconut milk and cook for 2 minutes without boiling heavily.Step 7: Rest for 5 minutes before serving hot.",non_veg,medium,40
ada pradhaman,"rice ada,jaggery,coconut milk,ghee,coconut,cashew nuts nuts,cardamom powder,water","[{""ingredient"":""rice ada"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""jaggery"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut milk"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ghee"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut"",""measurement"":""1/2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cardamom powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]",Step 1: Boil 5 cup water in a large pot on high flame for 5 minutes.Add 2 cup rice ada and cook on medium flame for 10 minutes until soft.Drain and rinse with cold water for 1 minute.Step 2: Heat 1 cup water in a heavy pan on medium flame for 3 minutes.Add 2 cup jaggery and stir for 5 minutes until fully dissolved.Filter to remove impurities.Step 3: Add cooked ada into the jaggery syrup and cook on medium flame for 10 minutes while stirring continuously until syrup thickens slightly.Step 4: Add 3 cup coconut milk gradually and simmer on low flame for 10 minutes until pradhaman becomes creamy.Step 5: Add remaining coconut milk and 1 tsp cardamom powder.Cook on very low flame for 2 minutes without boiling heavily.Step 6: Heat 4 tbsp ghee in a small pan on medium flame for 1 minute.Add 1/2 cup coconut pieces and fry for 3 minutes until golden brown.Add 1/2 cup cashew nuts and fry for 2 minutes until golden.Step 7: Pour fried coconut pieces and cashew nuts into the pradhaman.Mix gently and rest for 10 minutes before serving.,veg,medium,50
